danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.725,0.781,-7.035,0.0611,0.0153,9.66e-06,0.0686,0.397,130.986
0.593,0.684,-5.588,0.0368,0.526,0.0,0.581,0.749,133.889
0.896,0.523,-6.858,0.256,0.0328,0.0243,0.123,0.0662,100.008
0.656,0.678,-6.851,0.0507,0.12,1.86e-05,0.147,0.166,129.871
0.817,0.683,-4.634,0.192,0.101,0.0,0.0747,0.663,129.916
0.753,0.636,-8.144,0.135,0.164,0.0,0.275,0.438,99.964
0.823,0.678,-6.664,0.56,0.153,0.0,0.218,0.706,160.133
0.805,0.796,-5.226,0.0774,0.215,0.0,0.111,0.353,127.99
0.84,0.62,-6.91,0.129,0.0584,0.0,0.0988,0.511,98.076
0.855,0.804,-3.358,0.122,0.0847,0.0,0.64,0.888,113.991
0.601,0.514,-9.545,0.432,0.496,0.0,0.123,0.328,87.621
0.629,0.808,-6.101,0.051,0.00331,0.000132,0.0709,0.503,96.032
0.645,0.895,-4.786,0.0347,0.00619,0.00297,0.261,0.174,126.011
0.8,0.724,-7.843,0.0704,0.0859,0.000254,0.0922,0.35,112.048
0.97,0.739,-4.917,0.295,0.155,0.0,0.111,0.414,120.061
0.554,0.724,-6.537,0.187,0.0493,0.0,0.1,0.34,148.526
0.57,0.715,-5.973,0.113,0.291,0.0,0.358,0.296,117.239
0.921,0.425,-10.394,0.312,0.0194,0.000427,0.0993,0.708,140.055
0.764,0.657,-8.481,0.122,0.13,0.0,0.16,0.408,123.948
