track,artist,track_id,popularity
Malibu,Vegas Jones,08AN0HMXNr3DGGDCOWsTAw,62
fuck 3x,thasup,5YxP1CkunbhUQVvctFOHa7,63
Blue Sky,"Gemitaiz, MadMan",1WOeWKKfUxx8hlH8RSRjfV,63
Catrame (feat. Tedua),"Lazza, Tedua",5qbVso0dAtoI2gFhj7V8oG,62
Peace & Love,"Charlie Charles, Sfera Ebbasta, Ghali",4BGmYEDOK1swwoxTtfmVZD,62
LUNEDI',Salmo,1VNARx6Sm6ZYAsDMCGiU1B,62
Angelina Jolie,"Bresh, SHUNE",0tD4EXZRm1JGDYWtKYFLWK,62
Polvere (feat. Capo Plaza),"Tedua, Chris Nolan, AVA, Capo Plaza",0ZzXPo0gS5h718w7WErG44,62
HO PAURA DI USCIRE 2 - prod. Mace,"MACHETE, Salmo, Lazza",0nFCpnM7nistUWXRZpzOWM,62
"Blueface (feat. Izi, Tedua)","Disme, Vaz Tè, Izi, Tedua",2Ctj9DfXfh9kW3erTp907i,62
Rompo (feat. Boro),"VillaBanks, Boro",4oPh7HAoMR1bLBbxwqKmgn,61
Mon Cheri (feat. Sfera Ebbasta),"Rkomi, Sfera Ebbasta",66UkKyxN5YbJl9z7YamQOR,61
Cambiare Adesso,Dark Polo Gang,2xjxaKiYssIdDU6DCPpZPt,61
Dende,Ghali,2JeocKJi1eXYfLYxN4sdxJ,61
Nulla Accade,"Marracash, Guè",6uqeN1m6DXG0yOQ4WMNndB,61
90MIN,Salmo,3Ls9yKzshQye18Tx2AvOb6,62
Bossoli,Shiva,5mn8bU8IjYqr8ZqTDmLtSO,60
Veleno 6,"MadMan, Gemitaiz",7GfXjqXD9aBvDoBdZ7EwPH,60
Pasticche (feat. Capo Plaza),"VillaBanks, Linch, Reizon, Capo Plaza",7KnC2wSD0I5Fju3A7qCFX8,60
Che Dio Mi Benedica,Luchè,7ohj51SSBsOPh2phOZkn9d,60
Pookie (feat. Capo Plaza) - Remix,"Aya Nakamura, Capo Plaza",1MtmXPxXP4ntSjfF5xnOyM,59
ANSIA NO,FSK SATELLITE,2yuYI5NFhevxa05se7Qht9,59
Habibi,Ghali,2dyQYsU8cJLSGpVsbOy0CO,61
Salvador Dalì,"Marracash, Guè",4Dub4JaxFLCeb2NqFsLiZ2,59
LA CANZONE NOSTRA ⟁ (con BLANCO & Salmo),"MACE, BLANCO, Salmo",0aQi1JGO1oKWEmKGfvf8TF,59
"TRAVESURAS (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo)","SLF, MV Killa, Yung Snapp, Lele Blade, Vale Lambo",7IrtgihaMKV0DOVcB0TcBG,59
Niente da perdere,Shiva,3HiQ6Tn1mWVgYDLgeaxjS5,59
Phi,Ernia,0E5bmLyxyiHsmc82D5gsiY,59
Eravamo Re,Guè,6VwGytUkC11Mj5kcHXggYj,58
Effe,Tony Effe,6RQjUikQBjV183yPTvrUvr,58
Polo nord - C+N Progressive Mix,"Massimo Pericolo, Crookers, Nic Sarno",1Wbc0N0X1zkFqnKGcj8Quh,58
Boogieman (feat. Salmo),"Ghali, Salmo",13Hb5D3FgRUz4IA44Z7WNW,58
Bando,ANNA,0kzGjSRHGVcaWxagzQwAyD,58
Solletico (feat. Tedua & The Night Skinny),"Rkomi, Tedua, Night Skinny",6gan8nbS78t2sUy0M9UpAX,58
Centro (feat. Coez),"MadMan, Coez",6DGl9TtxYTpMFrmZa1mwEz,58
Thick (feat. MamboLosco) - Remix,"Slings, MamboLosco",45bjf2E1OwkD58JN7CLr99,58
Cavallini (feat. Sfera Ebbasta),"Dark Polo Gang, Sfera Ebbasta",3StzACYDEYmfOOWNU83iRs,58
